"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録6718015","ＥＸＣＥＲＩＡ　ＰＲＯ　Ｇ","","エクセリアプロジイ,エクセリアプロ,エクセリア,エキセリア,プロジイ,プロ,ピイアアルオオ","09,42","キオクシア株式会社","2022/12/28","2023/07/18","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-148764/40/ja"
"登録6719281","無印良品","","ムジルシリョーヒン","01,02,03,04,05,06,07,08,09,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45","株式会社良品計画","2022/06/03","2023/07/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-063570/40/ja"
"登録6719443","ＵＮＩ＼ＱＬＯ　：　Ｃ","","ユニクロシイ,ユニクロ,クロ,キュウエルオオ,ユニ,ユウエヌアイ","18,25,35","株式会社ファーストリテイリング","2023/01/10","2023/07/21","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-001273/40/ja"
"登録6720201","お部屋ｄｅコーディネート","","オヘヤデコーディネート,ヘヤデコーディネート,オヘヤデ,ヘヤデ,オヘヤ,ヘヤ,コーディネート","35","株式会社ニトリホールディングス","2023/01/11","2023/07/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-001792/40/ja"
"登録6720589","§ＨＯＭＥ’Ｓ＼島忠","","ホームズシマチュー,ホームズ,ホーム,シマチュー","35","株式会社ニトリホールディングス","2022/10/27","2023/07/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-123226/40/ja"
"登録6720590","§ＨＯＭＥ’Ｓ＼Ｓｈｉｍａｃｈｕ","","ホームズシマチュー,ホームズ,ホーム,シマチュー,シマチュ","35","株式会社ニトリホールディングス","2022/10/27","2023/07/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-123228/40/ja"
"登録6720591","§家具・ホームセンター＼ＨＯＭＥ’Ｓ＼島忠","","カグホームセンターホームズシマチュー,カグホームセンターホームズ,カグホームセンター,ホームズシマチュー,ホームズ,ホーム,シマチュー","35","株式会社ニトリホールディングス","2022/10/27","2023/07/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-123229/40/ja"
"登録6723268","§ＨＯＭＥ’Ｓ","","ホームズ,ホーム","35","株式会社ニトリホールディングス","2022/10/27","2023/08/03","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2022-123227/40/ja"
"登録6730211","ｅａｓｙ　ｓｅｌｅｃｔ","","イージーセレクト,イージー,セレクト","25","株式会社ニトリホールディングス","2023/02/28","2023/08/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-020775/40/ja"
"登録6733129","ふきとり上手","","フキトリジョーズ","20,35","株式会社ニトリホールディングス","2023/03/01","2023/09/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-021181/40/ja"
"登録6735402","Ｎ＋　大人の楽らくソックス","","エヌプラスオトナノラクラクソックス,エヌプラス,オトナノラクラクソックス,オトナノラクラク,オトナノ,オトナ,ラクラクソックス,ラクラク","25","株式会社ニトリホールディングス","2023/03/13","2023/09/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-026692/40/ja"
"登録6735403","Ｎ＋　大人の楽らくレギンス","","エヌプラスオトナノラクラクレギンス,エヌプラス,オトナノラクラクレギンス,オトナノラクラク,オトナノ,オトナ,ラクラクレギンス,ラクラク","25","株式会社ニトリホールディングス","2023/03/13","2023/09/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-026693/40/ja"
"登録6742620","ＰＵＦＦＥＲＴＥＣＨ","","パファーテック,パファーテク","22,25","株式会社ファーストリテイリング","2023/04/03","2023/10/05","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-035553/40/ja"
"登録6746562","いつもし","","イツモシ","35,41","株式会社良品計画","2023/03/08","2023/10/19","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-024528/40/ja"
"登録6748546","ＭＵＪＩ　ＩＮＦＩＬＬ　０","","ムジインフィルゼロ,ムジインフィル,ムジ,インフィルゼロ,インフィル","35,36,37,42","株式会社良品計画","2023/03/08","2023/10/26","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-024530/40/ja"
"登録6749088","カイテキレイ","","カイテキレイ,カイテキレー","25","株式会社ニトリホールディングス","2023/04/17","2023/10/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-041270/40/ja"
"登録6750289","ＯＭＯＣＨＩ革命","","オモチカクメー,モチカクメー,カクメー","30,35","株式会社ニトリホールディングス","2023/04/14","2023/11/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-040687/40/ja"
"登録6754600","カニミライブ","","カニミライブ","35,36,37,41,43,44","株式会社良品計画","2023/03/06","2023/11/16","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-023259/40/ja"
"登録6754748","ＫＡＮＩＭＩＬＩＶＥ＼可児未来部∞ＡＷＡＲＥＮＥＳＳ　ＣＯＭＥＳ　ＯＮＬＹ∞ＴＨＲＯＵＧＨ　ＰＲＡＣＴＩＣＥ","","カニミライブ,カニミリブ,アウエアネスカムズオンリースループラクティス","35,36,37,41,43,44","株式会社良品計画","2023/04/24","2023/11/16","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-044368/40/ja"
"登録6756675","ＰＵＦＦＹ　ＴＯＵＣＨ","","パフィータッチ","25","株式会社ファーストリテイリング","2023/04/14","2023/11/24","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-041015/40/ja"
"登録6757771","ＰＵＦＦＴＥＣＨ","","パフテック,パフテク","22","株式会社ファーストリテイリング","2023/06/08","2023/11/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-063113/40/ja"
"登録6758765","ＫＩＯＸＩＡ","","キオシア,キオジア,キオクシア,キオキシア","03,05,08,10,12,18,25,29,30,32,33,36,37,39,40,42,43","キオクシア株式会社","2023/04/20","2023/12/01","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-043235/40/ja"
"登録6765392","§Ｓｏｕｆｆｌｅ　Ｙａｒｎ","","スフレヤーン,スフレ","23","株式会社ファーストリテイリング","2023/05/01","2023/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-047862/40/ja"
"登録6765393","§Ｓｏｕｆｆｌｅ","","スフレ","23","株式会社ファーストリテイリング","2023/05/01","2023/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-047863/40/ja"
"登録6765394","スフレヤーン","","スフレヤーン,スフレ","23,25","株式会社ファーストリテイリング","2023/05/01","2023/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-047864/40/ja"
"登録6765395","スフレ","","スフレ","23","株式会社ファーストリテイリング","2023/05/01","2023/12/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-047865/40/ja"
"登録6767015","すっぽり収納ボリューム着る毛布","","スッポリシューノーボリュームキルモーフ,スッポリシューノーボリュームキル,スッポリシューノー,ボリュームキルモーフ,ボリュームキル,キルモーフ","24,25","株式会社ニトリホールディングス","2023/06/21","2023/12/28","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-068908/40/ja"
"登録6778405","ＲＥ．＼ＧＵ","","リジイユウ,レジイユウ,リグ,レグ","35,39,40","株式会社ファーストリテイリング","2023/11/16","2024/02/13","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2023-127787/40/ja"
